Flight No.,Date,Time,Version Booster,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Booster landing
473,"May 13, 2025",01:15,F9B5,Vandenberg,Starlink,"~14,950 kg",LEO,SpaceX,Success,Success (
474,"May 13, 2025",05:02,F9B5,Kennedy,Starlink,"~16,100 kg",LEO,SpaceX,Success,Success (
475,"May 14, 2025",16:38,F9B5,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,Success (
476,"May 16, 2025",13:43,F9B5,Vandenberg,Starlink,"~14,950 kg",LEO,SpaceX,Success,Success (
477,"May 21, 2025",03:19,F9B5,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,Success (
478,"May 23, 2025",22:32,F9B5,Vandenberg,Starlink,"~15,500 kg",LEO,SpaceX,Success,Success (
479,"May 24, 2025",17:19,F9B5,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,Success (
480,"May 27, 2025",16:57,F9B5,Vandenberg,Starlink,"~17,500 kg",SSO,SpaceX,Success,Success (
481,"May 28, 2025",13:30,F9B5,Kennedy,Starlink,"~15,500 kg",LEO,SpaceX,Success,Success (
482,"May 30, 2025",17:37,F9B5,Cape Canaveral,GPS III,"4,350 kg",MEO,USSF,Success,Success (
483,"May 31, 2025",20:10,F9B5,Vandenberg,Starlink,"~15,500 kg",LEO,SpaceX,Success,Success (
484,"June 3, 2025",04:43,F9B5,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,Success (
485,"June 4, 2025",23:40,F9B5,Vandenberg,Starlink,"~15,500 kg",LEO,SpaceX,Success,Success (
486,"June 7, 2025",04:54,F9B5,Cape Canaveral,SXM-10,"6,400 kg",GTO,SiriusXM,Success,Success (
487,"June 8, 2025",14:20,F9B5,Vandenberg,Starlink,"~14,950 kg",LEO,SpaceX,Success,Success (
488,"June 10, 2025",13:05,F9B5,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,Success (
489,"June 13, 2025",01:54,F9B5,Vandenberg,Starlink,"~14,950 kg",LEO,SpaceX,Success,Success (
490,"June 13, 2025",15:29,F9B5,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,Success (
491,"June 17, 2025",03:36,F9B5,Vandenberg,Starlink,"~14,950 kg",LEO,SpaceX,Success,Success (
492,"June 18, 2025",05:55,F9B5,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,Success (
493,"June 23, 2025",05:58,F9B5,Cape Canaveral,Starlink,"~15,500 kg",LEO,SpaceX,Success,Success (
494,"June 23, 2025",21:25,F9B5,Vandenberg,Transporter-14,U,SSO,Various,Success,Success (
495,"June 25, 2025",06:31,F9B5,Kennedy,Axiom Mission 4,"~13,000 kg",LEO,Axiom Space,Success,Success (
496,"June 25, 2025",19:54,F9B5,Cape Canaveral,Starlink,"~15,500 kg",LEO,SpaceX,Success,Success (
497,"June 28, 2025",04:26,F9B5,Cape Canaveral,Starlink,"~15,500 kg",LEO,SpaceX,Success,Success (
498,"June 28, 2025",17:13,F9B5,Vandenberg,Starlink,"~14,950 kg",LEO,SpaceX,Success,Success (
499,"July 1, 2025",21:04,F9B5,Kennedy,MTG-S1,"3,800 kg",GTO,EUMETSAT,Success,Success (
500,"July 2, 2025",06:28,F9B5,Cape Canaveral,Starlink,"~15,500 kg",LEO,SpaceX,Success,Success (
501,"July 8, 2025",08:21,F9B5,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,Success (
502,"July 13, 2025",05:04,F9B5,Cape Canaveral,Dror-1,"4,000 kg",GTO,IAI,Success,Success (
503,"July 16, 2025",02:05,F9B5,Vandenberg,Starlink,"~14,950 kg",LEO,SpaceX,Success,Success (
504,"July 16, 2025",06:30,F9B5,Cape Canaveral,KuiperSat,"~14,784 kg",LEO,Amazon,Success,Success (
505,"July 19, 2025",03:52,F9B5,Vandenberg,Starlink,"~17,500 kg",SSO,SpaceX,Success,Success (
506,"July 22, 2025",21:12,F9B5,Cape Canaveral,O3b mPOWER,"3,400 kg",MEO,SES,Success,Success (
507,"July 23, 2025",18:13,F9B5,Vandenberg,TRACERS,~920 kg,SSO,NASA,Success,Success (
508,"July 26, 2025",09:01,F9B5,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,Success (
509,"July 27, 2025",04:31,F9B5,Vandenberg,Starlink,"~17,500 kg",SSO,SpaceX,Success,Success (
510,"July 30, 2025",03:37,F9B5,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,Success (
